Date|Day in Season|Rank|Feast|Commemorations
2027-09-18|Sabbato week XXIV of Ordinary Time|Feria|Sabbato week XXIV of Ordinary Time|BVM on Saturday
2027-09-19|Dominica XXV of Ordinary Time|Sunday|Dominica XXV of Ordinary Time|
2027-09-20|Feria II week XXV of Ordinary Time|Memorial|Sts. Andrew Kim Tae-gon, Paul Chong Ha-sang, and Companions, Priest and Martyrs|
2027-09-21|Feria III week XXV of Ordinary Time|Feast|St. Matthew, Apostle and Evangelist|
2027-09-22|Feria IV week XXV of Ordinary Time|Feria|Feria IV week XXV of Ordinary Time|
2027-09-23|Feria V week XXV of Ordinary Time|Memorial|St. Pius of Pietrelcina, Priest|
2027-09-24|Feria VI week XXV of Ordinary Time|Feria|Feria VI week XXV of Ordinary Time|
2027-09-25|Sabbato week XXV of Ordinary Time|Feria|Sabbato week XXV of Ordinary Time|BVM on Saturday
2027-09-26|Dominica XXVI of Ordinary Time|Sunday|Dominica XXVI of Ordinary Time|
2027-09-27|Feria II week XXVI of Ordinary Time|Memorial|St. Vincent de Paul, Priest|
2027-09-28|Feria III week XXVI of Ordinary Time|Feria|Feria III week XXVI of Ordinary Time|St. Wenceslaus, Martyr, St. Lawrence Ruiz and Companions, Martyrs
2027-09-29|Feria IV week XXVI of Ordinary Time|Feast|Sts. Michael, Gabriel and Raphael, Archangels|
2027-09-30|Feria V week XXVI of Ordinary Time|Memorial|St. Jerome, Priest and Doctor of the Church|
2027-10-01|Feria VI week XXVI of Ordinary Time|Memorial|St. Thérèse of the Child Jesus, Virgin and Doctor of the Church|
2027-10-02|Sabbato week XXVI of Ordinary Time|Memorial|The Holy Guardian Angels|
2027-10-03|Dominica XXVII of Ordinary Time|Sunday|Dominica XXVII of Ordinary Time|
2027-10-04|Feria II week XXVII of Ordinary Time|Memorial|St. Francis of Assisi|
2027-10-05|Feria III week XXVII of Ordinary Time|Feria|Feria III week XXVII of Ordinary Time|St. Faustina Kowalska, Virgin
2027-10-06|Feria IV week XXVII of Ordinary Time|Feria|Feria IV week XXVII of Ordinary Time|St. Bruno, Priest
2027-10-07|Feria V week XXVII of Ordinary Time|Memorial|Our Lady of the Rosary|
2027-10-08|Feria VI week XXVII of Ordinary Time|Feria|Feria VI week XXVII of Ordinary Time|
2027-10-09|Sabbato week XXVII of Ordinary Time|Feria|Sabbato week XXVII of Ordinary Time|St. Denis and Companions, Bishop and Martyrs, St. John Leonardi, Priest, BVM on Saturday
2027-10-10|Dominica XXVIII of Ordinary Time|Sunday|Dominica XXVIII of Ordinary Time|
2027-10-11|Feria II week XXVIII of Ordinary Time|Feria|Feria II week XXVIII of Ordinary Time|St. John XXIII, Pope
2027-10-12|Feria III week XXVIII of Ordinary Time|Feria|Feria III week XXVIII of Ordinary Time|
2027-10-13|Feria IV week XXVIII of Ordinary Time|Feria|Feria IV week XXVIII of Ordinary Time|
2027-10-14|Feria V week XXVIII of Ordinary Time|Feria|Feria V week XXVIII of Ordinary Time|St. Callistus I, Pope and Martyr
2027-10-15|Feria VI week XXVIII of Ordinary Time|Memorial|St. Teresa of Jesus, Virgin and Doctor of the Church|
2027-10-16|Sabbato week XXVIII of Ordinary Time|Feria|Sabbato week XXVIII of Ordinary Time|St. Hedwig, Religious, St. Margaret Mary Alacoque, Virgin, BVM on Saturday
2027-10-17|Dominica XXIX of Ordinary Time|Sunday|Dominica XXIX of Ordinary Time|
2027-10-18|Feria II week XXIX of Ordinary Time|Feast|St. Luke, Evangelist|
2027-10-19|Feria III week XXIX of Ordinary Time|Feria|Feria III week XXIX of Ordinary Time|Sts. John de Brébeuf, Isaac Jogues, and Companions, Priests and Martyrs, St. Paul of the Cross, Priest
2027-10-20|Feria IV week XXIX of Ordinary Time|Feria|Feria IV week XXIX of Ordinary Time|
2027-10-21|Feria V week XXIX of Ordinary Time|Feria|Feria V week XXIX of Ordinary Time|
2027-10-22|Feria VI week XXIX of Ordinary Time|Feria|Feria VI week XXIX of Ordinary Time|St. John Paul II, Pope
2027-10-23|Sabbato week XXIX of Ordinary Time|Feria|Sabbato week XXIX of Ordinary Time|St. John of Capistrano, Priest, BVM on Saturday
2027-10-24|Dominica XXX of Ordinary Time|Sunday|Dominica XXX of Ordinary Time|
2027-10-25|Feria II week XXX of Ordinary Time|Feria|Feria II week XXX of Ordinary Time|
2027-10-26|Feria III week XXX of Ordinary Time|Feria|Feria III week XXX of Ordinary Time|
2027-10-27|Feria IV week XXX of Ordinary Time|Feria|Feria IV week XXX of Ordinary Time|
2027-10-28|Feria V week XXX of Ordinary Time|Feast|Sts. Simon and Jude, Apostles|
2027-10-29|Feria VI week XXX of Ordinary Time|Feria|Feria VI week XXX of Ordinary Time|
2027-10-30|Sabbato week XXX of Ordinary Time|Feria|Sabbato week XXX of Ordinary Time|BVM on Saturday
2027-10-31|Dominica XXXI of Ordinary Time|Sunday|Dominica XXXI of Ordinary Time|
2027-11-01|Feria II week XXXI of Ordinary Time|Solemnity|All Saints|
2027-11-02|Feria III week XXXI of Ordinary Time|Solemnity|The Commemoration of All the Faithful Departed|
2027-11-03|Feria IV week XXXI of Ordinary Time|Feria|Feria IV week XXXI of Ordinary Time|St. Martin de Porres, Religious
2027-11-04|Feria V week XXXI of Ordinary Time|Memorial|St. Charles Borromeo, Bishop|
2027-11-05|Feria VI week XXXI of Ordinary Time|Feria|Feria VI week XXXI of Ordinary Time|
2027-11-06|Sabbato week XXXI of Ordinary Time|Feria|Sabbato week XXXI of Ordinary Time|BVM on Saturday
2027-11-07|Dominica XXXII of Ordinary Time|Sunday|Dominica XXXII of Ordinary Time|
2027-11-08|Feria II week XXXII of Ordinary Time|Feria|Feria II week XXXII of Ordinary Time|
2027-11-09|Feria III week XXXII of Ordinary Time|Feast|The Dedication of the Lateran Basilica|
2027-11-10|Feria IV week XXXII of Ordinary Time|Memorial|St. Leo the Great, Pope and Doctor of the Church|
2027-11-11|Feria V week XXXII of Ordinary Time|Memorial|St. Martin of Tours, Bishop|
2027-11-12|Feria VI week XXXII of Ordinary Time|Memorial|St. Josaphat, Bishop and Martyr|
2027-11-13|Sabbato week XXXII of Ordinary Time|Feria|Sabbato week XXXII of Ordinary Time|BVM on Saturday
2027-11-14|Dominica XXXIII of Ordinary Time|Sunday|Dominica XXXIII of Ordinary Time|
2027-11-15|Feria II week XXXIII of Ordinary Time|Feria|Feria II week XXXIII of Ordinary Time|St. Albert the Great, Bishop and Doctor of the Church
2027-11-16|Feria III week XXXIII of Ordinary Time|Feria|Feria III week XXXIII of Ordinary Time|St. Margaret of Scotland, St. Gertrude, Virgin
2027-11-17|Feria IV week XXXIII of Ordinary Time|Memorial|St. Elizabeth of Hungary, Religious|
2027-11-18|Feria V week XXXIII of Ordinary Time|Feria|Feria V week XXXIII of Ordinary Time|The Dedication of the Basilicas of Sts. Peter and Paul
2027-11-19|Feria VI week XXXIII of Ordinary Time|Feria|Feria VI week XXXIII of Ordinary Time|
2027-11-20|Sabbato week XXXIII of Ordinary Time|Feria|Sabbato week XXXIII of Ordinary Time|BVM on Saturday
2027-11-21|Dominica XXXIV of Ordinary Time|Solemnity|Our Lord Jesus Christ, King of the Universe|
2027-11-22|Feria II week XXXIV of Ordinary Time|Memorial|St. Cecilia, Virgin and Martyr|
2027-11-23|Feria III week XXXIV of Ordinary Time|Feria|Feria III week XXXIV of Ordinary Time|St. Clement I, Pope and Martyr, St. Columban, Abbot
2027-11-24|Feria IV week XXXIV of Ordinary Time|Memorial|Sts. Andrew Dung-Lac and Companions, Priest and Martyrs|
2027-11-25|Feria V week XXXIV of Ordinary Time|Feria|Feria V week XXXIV of Ordinary Time|St. Catherine of Alexandria, Virgin and Martyr
2027-11-26|Feria VI week XXXIV of Ordinary Time|Feria|Feria VI week XXXIV of Ordinary Time|
2027-11-27|Sabbato week XXXIV of Ordinary Time|Feria|Sabbato week XXXIV of Ordinary Time|BVM on Saturday
